Id,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
0500000US18163,"Vanderburgh County, Indiana",19689,2593,13.2,5890,29.9
0500000US18165,"Vermillion County, Indiana",1202,219,18.2,407,33.9
0500000US18167,"Vigo County, Indiana",16277,1919,11.8,4358,26.8
0500000US18169,"Wabash County, Indiana",3251,388,11.9,1269,39
0500000US18171,"Warren County, Indiana",606,140,23.1,228,37.6
0500000US18173,"Warrick County, Indiana",4345,681,15.7,1411,32.5
0500000US18175,"Washington County, Indiana",2260,727,32.2,795,35.2
0500000US18177,"Wayne County, Indiana",6288,1196,19,1858,29.5
0500000US18179,"Wells County, Indiana",2276,383,16.8,794,34.9
0500000US18181,"White County, Indiana",1825,388,21.3,737,40.4
0500000US18183,"Whitley County, Indiana",2633,597,22.7,912,34.6
0500000US19001,"Adair County, Iowa",488,42,8.6,225,46.1
0500000US19003,"Adams County, Iowa",266,62,23.3,90,33.8
0500000US19005,"Allamakee County, Iowa",974,92,9.4,382,39.2
0500000US19007,"Appanoose County, Iowa",884,191,21.6,253,28.6
0500000US19009,"Audubon County, Iowa",387,82,21.2,79,20.4
0500000US19011,"Benton County, Iowa",1882,398,21.1,665,35.3
0500000US19013,"Black Hawk County, Iowa",20943,1366,6.5,4467,21.3
0500000US19015,"Boone County, Iowa",2119,371,17.5,604,28.5
0500000US19017,"Bremer County, Iowa",3071,251,8.2,495,16.1
0500000US19019,"Buchanan County, Iowa",1480,280,18.9,444,30
0500000US19021,"Buena Vista County, Iowa",2373,367,15.5,531,22.4
0500000US19023,"Butler County, Iowa",967,111,11.5,423,43.7
0500000US19025,"Calhoun County, Iowa",783,156,19.9,241,30.8
0500000US19027,"Carroll County, Iowa",1527,230,15.1,513,33.6
0500000US19029,"Cass County, Iowa",933,173,18.5,357,38.3
0500000US19031,"Cedar County, Iowa",1229,154,12.5,403,32.8
0500000US19033,"Cerro Gordo County, Iowa",3538,314,8.9,1384,39.1
0500000US19035,"Cherokee County, Iowa",857,183,21.4,353,41.2
0500000US19037,"Chickasaw County, Iowa",908,162,17.8,294,32.4
0500000US19039,"Clarke County, Iowa",806,105,13,484,60
0500000US19041,"Clay County, Iowa",1228,156,12.7,398,32.4
0500000US19043,"Clayton County, Iowa",1257,156,12.4,485,38.6
0500000US19045,"Clinton County, Iowa",3923,692,17.6,1260,32.1
0500000US19047,"Crawford County, Iowa",1507,361,24,454,30.1
0500000US19049,"Dallas County, Iowa",4578,822,18,1281,28
0500000US19051,"Davis County, Iowa",655,281,42.9,179,27.3
0500000US19053,"Decatur County, Iowa",1435,178,12.4,373,26
0500000US19055,"Delaware County, Iowa",1314,171,13,421,32
0500000US19057,"Des Moines County, Iowa",2989,487,16.3,929,31.1
0500000US19059,"Dickinson County, Iowa",1051,183,17.4,238,22.6
0500000US19061,"Dubuque County, Iowa",9942,698,7,2309,23.2
0500000US19063,"Emmet County, Iowa",1060,220,20.8,230,21.7
0500000US19065,"Fayette County, Iowa",2157,207,9.6,681,31.6
0500000US19067,"Floyd County, Iowa",1205,261,21.7,317,26.3
0500000US19069,"Franklin County, Iowa",722,129,17.9,286,39.6
0500000US19071,"Fremont County, Iowa",481,80,16.6,209,43.5
0500000US19073,"Greene County, Iowa",648,122,18.8,224,34.6
0500000US19075,"Grundy County, Iowa",842,76,9,206,24.5
0500000US19077,"Guthrie County, Iowa",684,48,7,210,30.7
0500000US19079,"Hamilton County, Iowa",1024,108,10.5,358,35
0500000US19081,"Hancock County, Iowa",693,118,17,206,29.7
0500000US19083,"Hardin County, Iowa",1380,165,12,454,32.9
0500000US19085,"Harrison County, Iowa",1075,218,20.3,308,28.7
0500000US19087,"Henry County, Iowa",1805,379,21,481,26.6
0500000US19089,"Howard County, Iowa",650,136,20.9,170,26.2
0500000US19091,"Humboldt County, Iowa",657,76,11.6,173,26.3
0500000US19093,"Ida County, Iowa",439,53,12.1,144,32.8
0500000US19095,"Iowa County, Iowa",1185,188,15.9,566,47.8
0500000US19097,"Jackson County, Iowa",1426,215,15.1,502,35.2
0500000US19099,"Jasper County, Iowa",2792,456,16.3,1054,37.8
0500000US19101,"Jefferson County, Iowa",1945,131,6.7,328,16.9
0500000US19103,"Johnson County, Iowa",29673,1215,4.1,5406,18.2
0500000US19105,"Jones County, Iowa",1446,268,18.5,344,23.8
0500000US19107,"Keokuk County, Iowa",720,102,14.2,186,25.8
0500000US19109,"Kossuth County, Iowa",1064,145,13.6,238,22.4
0500000US19111,"Lee County, Iowa",2900,446,15.4,1154,39.8
0500000US19113,"Linn County, Iowa",21252,2108,9.9,5057,23.8
0500000US19115,"Louisa County, Iowa",886,179,20.2,280,31.6
0500000US19117,"Lucas County, Iowa",623,80,12.8,228,36.6
0500000US19119,"Lyon County, Iowa",818,110,13.4,276,33.7
0500000US19121,"Madison County, Iowa",963,195,20.2,178,18.5
0500000US19123,"Mahaska County, Iowa",2077,145,7,639,30.8
0500000US19125,"Marion County, Iowa",3559,292,8.2,896,25.2
0500000US19127,"Marshall County, Iowa",3456,854,24.7,1050,30.4
0500000US19129,"Mills County, Iowa",1064,237,22.3,310,29.1
0500000US19131,"Mitchell County, Iowa",786,142,18.1,325,41.3
0500000US19133,"Monona County, Iowa",623,110,17.7,210,33.7
0500000US19135,"Monroe County, Iowa",636,118,18.6,190,29.9
0500000US19137,"Montgomery County, Iowa",718,154,21.4,265,36.9
0500000US19139,"Muscatine County, Iowa",3617,567,15.7,1191,32.9
0500000US19141,"O'Brien County, Iowa",985,204,20.7,211,21.4
0500000US19143,"Osceola County, Iowa",414,112,27.1,166,40.1
0500000US19145,"Page County, Iowa",1119,255,22.8,453,40.5
0500000US19147,"Palo Alto County, Iowa",825,71,8.6,193,23.4
0500000US19149,"Plymouth County, Iowa",1706,302,17.7,495,29
0500000US19151,"Pocahontas County, Iowa",500,39,7.8,203,40.6
0500000US19153,"Polk County, Iowa",40698,5126,12.6,11848,29.1
0500000US19155,"Pottawattamie County, Iowa",8476,1117,13.2,2819,33.3
0500000US19157,"Poweshiek County, Iowa",2699,189,7,499,18.5
0500000US19159,"Ringgold County, Iowa",312,63,20.2,93,29.8
0500000US19161,"Sac County, Iowa",671,109,16.2,183,27.3
0500000US19163,"Scott County, Iowa",14797,1832,12.4,4523,30.6
0500000US19165,"Shelby County, Iowa",787,113,14.4,207,26.3
0500000US19167,"Sioux County, Iowa",4734,423,8.9,1006,21.3
0500000US19169,"Story County, Iowa",29335,468,1.6,3337,11.4
0500000US19171,"Tama County, Iowa",1276,210,16.5,512,40.1
0500000US19173,"Taylor County, Iowa",368,54,14.7,152,41.3
0500000US19175,"Union County, Iowa",1090,238,21.8,285,26.1
0500000US19177,"Van Buren County, Iowa",488,125,25.6,116,23.8
0500000US19179,"Wapello County, Iowa",3312,755,22.8,696,21
0500000US19181,"Warren County, Iowa",4578,424,9.3,1149,25.1
0500000US19183,"Washington County, Iowa",1580,261,16.5,625,39.6
0500000US19185,"Wayne County, Iowa",470,192,40.9,124,26.4
0500000US19187,"Webster County, Iowa",4070,445,10.9,1000,24.6
0500000US19189,"Winnebago County, Iowa",920,59,6.4,214,23.3
0500000US19191,"Winneshiek County, Iowa",3310,125,3.8,413,12.5
0500000US19193,"Woodbury County, Iowa",10505,1510,14.4,3494,33.3
0500000US19195,"Worth County, Iowa",550,76,13.8,189,34.4
0500000US19197,"Wright County, Iowa",939,171,18.2,337,35.9
0500000US20001,"Allen County, Kansas",1184,86,7.3,384,32.4
0500000US20003,"Anderson County, Kansas",535,68,12.7,163,30.5
0500000US20005,"Atchison County, Kansas",2537,126,5,578,22.8
0500000US20007,"Barber County, Kansas",328,86,26.2,80,24.4
0500000US20009,"Barton County, Kansas",2475,342,13.8,925,37.4
0500000US20011,"Bourbon County, Kansas",1506,190,12.6,422,28
0500000US20013,"Brown County, Kansas",710,152,21.4,201,28.3
0500000US20015,"Butler County, Kansas",6002,949,15.8,1742,29
0500000US20017,"Chase County, Kansas",176,28,15.9,84,47.7
0500000US20019,"Chautauqua County, Kansas",241,46,19.1,103,42.7
0500000US20021,"Cherokee County, Kansas",1495,291,19.5,506,33.8
0500000US20023,"Cheyenne County, Kansas",173,37,21.4,32,18.5
0500000US20025,"Clark County, Kansas",148,29,19.6,49,33.1
0500000US20027,"Clay County, Kansas",505,39,7.7,134,26.5
0500000US20029,"Cloud County, Kansas",1002,148,14.8,254,25.3
0500000US20031,"Coffey County, Kansas",579,93,16.1,184,31.8
0500000US20033,"Comanche County, Kansas",115,37,32.2,42,36.5
0500000US20035,"Cowley County, Kansas",3951,507,12.8,1275,32.3
0500000US20037,"Crawford County, Kansas",7176,433,6,1331,18.5
0500000US20039,"Decatur County, Kansas",160,18,11.3,65,40.6
0500000US20041,"Dickinson County, Kansas",1412,175,12.4,623,44.1
0500000US20043,"Doniphan County, Kansas",1038,76,7.3,329,31.7
0500000US20045,"Douglas County, Kansas",28483,798,2.8,3736,13.1
0500000US20047,"Edwards County, Kansas",202,33,16.3,59,29.2
0500000US20049,"Elk County, Kansas",124,8,6.5,74,59.7
0500000US20051,"Ellis County, Kansas",5289,153,2.9,937,17.7
0500000US20053,"Ellsworth County, Kansas",535,112,20.9,149,27.9
0500000US20055,"Finney County, Kansas",3922,1048,26.7,1329,33.9
0500000US20057,"Ford County, Kansas",3678,724,19.7,1635,44.5
0500000US20059,"Franklin County, Kansas",2334,255,10.9,869,37.2
0500000US20061,"Geary County, Kansas",5750,460,8,2487,43.3
0500000US20063,"Gove County, Kansas",127,11,8.7,37,29.1
0500000US20065,"Graham County, Kansas",151,29,19.2,33,21.9
0500000US20067,"Grant County, Kansas",561,212,37.8,185,33
0500000US20069,"Gray County, Kansas",484,162,33.5,124,25.6
0500000US20071,"Greeley County, Kansas",62,3,4.8,0,0
0500000US20073,"Greenwood County, Kansas",394,34,8.6,154,39.1
0500000US20075,"Hamilton County, Kansas",191,48,25.1,74,38.7
0500000US20077,"Harper County, Kansas",380,65,17.1,170,44.7
0500000US20079,"Harvey County, Kansas",3096,401,13,734,23.7
0500000US20081,"Haskell County, Kansas",403,153,38,148,36.7
0500000US20083,"Hodgeman County, Kansas",102,25,24.5,35,34.3
0500000US20085,"Jackson County, Kansas",961,225,23.4,293,30.5
0500000US20087,"Jefferson County, Kansas",1253,200,16,471,37.6
0500000US20089,"Jewell County, Kansas",175,11,6.3,43,24.6
0500000US20091,"Johnson County, Kansas",43206,4983,11.5,10797,25
0500000US20093,"Kearny County, Kansas",283,85,30,47,16.6
0500000US20095,"Kingman County, Kansas",517,53,10.3,237,45.8
0500000US20097,"Kiowa County, Kansas",293,25,8.5,44,15
0500000US20099,"Labette County, Kansas",1862,280,15,512,27.5
0500000US20101,"Lane County, Kansas",135,34,25.2,42,31.1
0500000US20103,"Leavenworth County, Kansas",6765,899,13.3,2065,30.5
0500000US20105,"Lincoln County, Kansas",170,19,11.2,75,44.1
0500000US20107,"Linn County, Kansas",645,133,20.6,224,34.7
0500000US20109,"Logan County, Kansas",211,58,27.5,45,21.3
0500000US20111,"Lyon County, Kansas",6051,564,9.3,1429,23.6
0500000US20113,"McPherson County, Kansas",2615,416,15.9,564,21.6
0500000US20115,"Marion County, Kansas",1169,178,15.2,244,20.9
0500000US20117,"Marshall County, Kansas",622,105,16.9,180,28.9
0500000US20119,"Meade County, Kansas",335,94,28.1,149,44.5
0500000US20121,"Miami County, Kansas",2474,359,14.5,905,36.6
0500000US20123,"Mitchell County, Kansas",599,99,16.5,244,40.7
0500000US20125,"Montgomery County, Kansas",3294,569,17.3,1041,31.6
0500000US20127,"Morris County, Kansas",366,76,20.8,134,36.6
0500000US20129,"Morton County, Kansas",355,75,21.1,181,51
0500000US20131,"Nemaha County, Kansas",741,101,13.6,311,42
0500000US20133,"Neosho County, Kansas",1463,137,9.4,303,20.7
0500000US20135,"Ness County, Kansas",135,42,31.1,37,27.4
0500000US20137,"Norton County, Kansas",475,119,25.1,90,18.9
0500000US20139,"Osage County, Kansas",1139,179,15.7,385,33.8
0500000US20141,"Osborne County, Kansas",250,45,18,55,22
0500000US20143,"Ottawa County, Kansas",397,68,17.1,145,36.5
0500000US20145,"Pawnee County, Kansas",569,148,26,132,23.2
0500000US20147,"Phillips County, Kansas",382,127,33.2,53,13.9
0500000US20149,"Pottawatomie County, Kansas",1741,160,9.2,609,35
0500000US20151,"Pratt County, Kansas",1069,127,11.9,399,37.3
0500000US20153,"Rawlins County, Kansas",158,46,29.1,45,28.5
0500000US20155,"Reno County, Kansas",5824,1179,20.2,1906,32.7
0500000US20157,"Republic County, Kansas",267,54,20.2,63,23.6
0500000US20159,"Rice County, Kansas",1262,259,20.5,280,22.2
0500000US20161,"Riley County, Kansas",24681,611,2.5,5021,20.3
0500000US20163,"Rooks County, Kansas",349,44,12.6,147,42.1
0500000US20165,"Rush County, Kansas",214,47,22,44,20.6
0500000US20167,"Russell County, Kansas",497,125,25.2,154,31
0500000US20169,"Saline County, Kansas",5481,793,14.5,1614,29.4
0500000US20171,"Scott County, Kansas",300,63,21,55,18.3
0500000US20173,"Sedgwick County, Kansas",48565,7483,15.4,13984,28.8
0500000US20175,"Seward County, Kansas",2660,683,25.7,631,23.7
0500000US20177,"Shawnee County, Kansas",15421,2433,15.8,4842,31.4
0500000US20179,"Sheridan County, Kansas",134,9,6.7,25,18.7
0500000US20181,"Sherman County, Kansas",477,122,25.6,48,10.1
0500000US20183,"Smith County, Kansas",231,23,10,86,37.2
0500000US20185,"Stafford County, Kansas",281,71,25.3,61,21.7
0500000US20187,"Stanton County, Kansas",141,30,21.3,38,27
0500000US20189,"Stevens County, Kansas",393,152,38.7,114,29
0500000US20191,"Sumner County, Kansas",1912,390,20.4,594,31.1
0500000US20193,"Thomas County, Kansas",1112,136,12.2,224,20.1
0500000US20195,"Trego County, Kansas",236,8,3.4,62,26.3
0500000US20197,"Wabaunsee County, Kansas",452,49,10.8,184,40.7
0500000US20199,"Wallace County, Kansas",90,23,25.6,20,22.2
0500000US20201,"Washington County, Kansas",372,55,14.8,74,19.9
0500000US20203,"Wichita County, Kansas",160,59,36.9,33,20.6
0500000US20205,"Wilson County, Kansas",620,124,20,213,34.4
0500000US20207,"Woodson County, Kansas",180,14,7.8,83,46.1
0500000US20209,"Wyandotte County, Kansas",14869,3676,24.7,5010,33.7
0500000US21001,"Adair County, Kentucky",2301,219,9.5,589,25.6
0500000US21003,"Allen County, Kentucky",1741,362,20.8,784,45
0500000US21005,"Anderson County, Kentucky",1612,249,15.4,590,36.6
0500000US21007,"Ballard County, Kentucky",630,55,8.7,220,34.9
0500000US21009,"Barren County, Kentucky",3476,720,20.7,1378,39.6
0500000US21011,"Bath County, Kentucky",955,214,22.4,317,33.2
0500000US21013,"Bell County, Kentucky",2420,498,20.6,1124,46.4
0500000US21015,"Boone County, Kentucky",9444,1229,13,3482,36.9
0500000US21017,"Bourbon County, Kentucky",1531,256,16.7,651,42.5
0500000US21019,"Boyd County, Kentucky",3710,823,22.2,1215,32.7
0500000US21021,"Boyle County, Kentucky",3634,391,10.8,1167,32.1
0500000US21023,"Bracken County, Kentucky",672,150,22.3,239,35.6
0500000US21025,"Breathitt County, Kentucky",1221,243,19.9,482,39.5
0500000US21027,"Breckinridge County, Kentucky",1521,351,23.1,628,41.3
0500000US21029,"Bullitt County, Kentucky",6437,690,10.7,2942,45.7
0500000US21031,"Butler County, Kentucky",922,267,29,371,40.2
0500000US21033,"Caldwell County, Kentucky",930,72,7.7,560,60.2
0500000US21035,"Calloway County, Kentucky",8269,205,2.5,1421,17.2
0500000US21037,"Campbell County, Kentucky",9845,930,9.4,2823,28.7
0500000US21039,"Carlisle County, Kentucky",359,54,15,131,36.5
0500000US21041,"Carroll County, Kentucky",1032,191,18.5,627,60.8
0500000US21043,"Carter County, Kentucky",2765,398,14.4,921,33.3
0500000US21045,"Casey County, Kentucky",1284,230,17.9,323,25.2
0500000US21047,"Christian County, Kentucky",11115,1360,12.2,5075,45.7
0500000US21049,"Clark County, Kentucky",2702,369,13.7,1034,38.3
0500000US21051,"Clay County, Kentucky",1871,569,30.4,657,35.1
0500000US21053,"Clinton County, Kentucky",752,156,20.7,247,32.8
0500000US21055,"Crittenden County, Kentucky",644,115,17.9,341,53
0500000US21057,"Cumberland County, Kentucky",534,190,35.6,242,45.3
0500000US21059,"Daviess County, Kentucky",8131,918,11.3,2712,33.4
0500000US21061,"Edmonson County, Kentucky",1154,228,19.8,450,39
0500000US21063,"Elliott County, Kentucky",620,135,21.8,216,34.8
0500000US21065,"Estill County, Kentucky",1059,157,14.8,608,57.4
0500000US21067,"Fayette County, Kentucky",44152,3203,7.3,9422,21.3
0500000US21069,"Fleming County, Kentucky",1152,226,19.6,460,39.9
0500000US21071,"Floyd County, Kentucky",3294,535,16.2,1318,40
0500000US21073,"Franklin County, Kentucky",4787,561,11.7,1706,35.6
0500000US21075,"Fulton County, Kentucky",584,153,26.2,184,31.5
0500000US21077,"Gallatin County, Kentucky",748,95,12.7,495,66.2
0500000US21079,"Garrard County, Kentucky",1223,236,19.3,498,40.7
0500000US21081,"Grant County, Kentucky",2105,221,10.5,1017,48.3
0500000US21083,"Graves County, Kentucky",2964,464,15.7,855,28.8
0500000US21085,"Grayson County, Kentucky",2214,405,18.3,947,42.8
0500000US21087,"Green County, Kentucky",817,171,20.9,355,43.5
0500000US21089,"Greenup County, Kentucky",2653,283,10.7,1033,38.9
0500000US21091,"Hancock County, Kentucky",681,84,12.3,183,26.9
0500000US21093,"Hardin County, Kentucky",10824,1086,10,4270,39.4
0500000US21095,"Harlan County, Kentucky",2427,672,27.7,765,31.5
0500000US21097,"Harrison County, Kentucky",1468,435,29.6,549,37.4
0500000US21099,"Hart County, Kentucky",1505,526,35,685,45.5
0500000US21101,"Henderson County, Kentucky",3548,780,22,1220,34.4
0500000US21103,"Henry County, Kentucky",1211,320,26.4,577,47.6
0500000US21105,"Hickman County, Kentucky",381,63,16.5,150,39.4
0500000US21107,"Hopkins County, Kentucky",3573,610,17.1,1373,38.4
0500000US21109,"Jackson County, Kentucky",1071,246,23,348,32.5
0500000US21111,"Jefferson County, Kentucky",67672,10268,15.2,21165,31.3
0500000US21113,"Jessamine County, Kentucky",5242,791,15.1,1711,32.6
0500000US21115,"Johnson County, Kentucky",1843,379,20.6,596,32.3
0500000US21117,"Kenton County, Kentucky",13822,2336,16.9,4412,31.9
0500000US21119,"Knott County, Kentucky",1689,294,17.4,395,23.4
0500000US21121,"Knox County, Kentucky",2980,595,20,1346,45.2
0500000US21123,"Larue County, Kentucky",1158,111,9.6,553,47.8
0500000US21125,"Laurel County, Kentucky",4838,778,16.1,2038,42.1
0500000US21127,"Lawrence County, Kentucky",1309,259,19.8,520,39.7
0500000US21129,"Lee County, Kentucky",534,175,32.8,191,35.8
0500000US21131,"Leslie County, Kentucky",893,209,23.4,460,51.5
0500000US21133,"Letcher County, Kentucky",1770,437,24.7,505,28.5
0500000US21135,"Lewis County, Kentucky",1110,270,24.3,447,40.3
0500000US21137,"Lincoln County, Kentucky",1851,275,14.9,875,47.3
0500000US21139,"Livingston County, Kentucky",649,147,22.7,283,43.6
0500000US21141,"Logan County, Kentucky",2118,429,20.3,927,43.8
0500000US21143,"Lyon County, Kentucky",578,114,19.7,341,59
0500000US21145,"McCracken County, Kentucky",4986,857,17.2,1775,35.6
0500000US21147,"McCreary County, Kentucky",1645,313,19,804,48.9
0500000US21149,"McLean County, Kentucky",685,93,13.6,275,40.1
0500000US21151,"Madison County, Kentucky",15108,866,5.7,3747,24.8
0500000US21153,"Magoffin County, Kentucky",1065,140,13.1,469,44
0500000US21155,"Marion County, Kentucky",1554,247,15.9,753,48.5
0500000US21157,"Marshall County, Kentucky",2233,524,23.5,828,37.1
0500000US21159,"Martin County, Kentucky",1218,241,19.8,633,52
0500000US21161,"Mason County, Kentucky",1474,270,18.3,469,31.8
0500000US21163,"Meade County, Kentucky",2532,508,20.1,1206,47.6
0500000US21165,"Menifee County, Kentucky",438,63,14.4,214,48.9
0500000US21167,"Mercer County, Kentucky",1559,186,11.9,729,46.8
0500000US21169,"Metcalfe County, Kentucky",745,132,17.7,262,35.2
0500000US21171,"Monroe County, Kentucky",832,136,16.3,352,42.3
0500000US21173,"Montgomery County, Kentucky",2238,486,21.7,874,39.1
0500000US21175,"Morgan County, Kentucky",1034,243,23.5,416,40.2
0500000US21177,"Muhlenberg County, Kentucky",2882,576,20,1217,42.2
0500000US21179,"Nelson County, Kentucky",3840,465,12.1,1926,50.2
0500000US21181,"Nicholas County, Kentucky",525,115,21.9,220,41.9
0500000US21183,"Ohio County, Kentucky",1902,233,12.3,1018,53.5
0500000US21185,"Oldham County, Kentucky",4574,798,17.4,1489,32.6
0500000US21187,"Owen County, Kentucky",802,136,17,458,57.1
0500000US21189,"Owsley County, Kentucky",379,125,33,136,35.9
0500000US21191,"Pendleton County, Kentucky",1274,136,10.7,607,47.6
0500000US21193,"Perry County, Kentucky",2383,549,23,845,35.5
0500000US21195,"Pike County, Kentucky",5477,1068,19.5,1961,35.8
0500000US21197,"Powell County, Kentucky",1054,317,30.1,431,40.9
0500000US21199,"Pulaski County, Kentucky",4905,784,16,1556,31.7
0500000US21201,"Robertson County, Kentucky",219,11,5,120,54.8
0500000US21203,"Rockcastle County, Kentucky",1346,126,9.4,455,33.8
0500000US21205,"Rowan County, Kentucky",5390,484,9,865,16
0500000US21207,"Russell County, Kentucky",1300,209,16.1,475,36.5
0500000US21209,"Scott County, Kentucky",4828,722,15,1706,35.3
0500000US21211,"Shelby County, Kentucky",3654,961,26.3,1347,36.9
0500000US21213,"Simpson County, Kentucky",1345,231,17.2,517,38.4
0500000US21215,"Spencer County, Kentucky",1297,166,12.8,479,36.9
0500000US21217,"Taylor County, Kentucky",3032,291,9.6,1207,39.8
0500000US21219,"Todd County, Kentucky",1038,200,19.3,459,44.2
0500000US21221,"Trigg County, Kentucky",865,131,15.1,218,25.2
0500000US21223,"Trimble County, Kentucky",666,149,22.4,287,43.1
0500000US21225,"Union County, Kentucky",2357,703,29.8,1025,43.5
0500000US21227,"Warren County, Kentucky",19950,1602,8,5898,29.6
0500000US21229,"Washington County, Kentucky",1188,176,14.8,347,29.2
0500000US21231,"Wayne County, Kentucky",1643,272,16.6,662,40.3
0500000US21233,"Webster County, Kentucky",1132,198,17.5,465,41.1
0500000US21235,"Whitley County, Kentucky",4199,450,10.7,1903,45.3
0500000US21237,"Wolfe County, Kentucky",501,46,9.2,270,53.9
0500000US21239,"Woodford County, Kentucky",2048,192,9.4,813,39.7
0500000US22001,"Acadia Parish, Louisiana",5675,1398,24.6,2037,35.9
0500000US22003,"Allen Parish, Louisiana",2035,641,31.5,928,45.6
0500000US22005,"Ascension Parish, Louisiana",9463,1360,14.4,3422,36.2
0500000US22007,"Assumption Parish, Louisiana",2270,542,23.9,876,38.6
0500000US22009,"Avoyelles Parish, Louisiana",3495,1197,34.2,1295,37.1
0500000US22011,"Beauregard Parish, Louisiana",3192,944,29.6,1473,46.1
0500000US22013,"Bienville Parish, Louisiana",1163,236,20.3,461,39.6
0500000US22015,"Bossier Parish, Louisiana",11972,2235,18.7,3973,33.2
0500000US22017,"Caddo Parish, Louisiana",24354,5418,22.2,7381,30.3
0500000US22019,"Calcasieu Parish, Louisiana",19319,2970,15.4,6802,35.2
0500000US22021,"Caldwell Parish, Louisiana",905,238,26.3,339,37.5
0500000US22023,"Cameron Parish, Louisiana",609,207,34,206,33.8
0500000US22025,"Catahoula Parish, Louisiana",991,348,35.1,421,42.5
0500000US22027,"Claiborne Parish, Louisiana",1687,644,38.2,699,41.4
0500000US22029,"Concordia Parish, Louisiana",1823,488,26.8,657,36
0500000US22031,"De Soto Parish, Louisiana",2301,714,31,590,25.6
0500000US22033,"East Baton Rouge Parish, Louisiana",64957,8338,12.8,14805,22.8
0500000US22035,"East Carroll Parish, Louisiana",717,285,39.7,337,47
0500000US22037,"East Feliciana Parish, Louisiana",1746,573,32.8,502,28.8
0500000US22039,"Evangeline Parish, Louisiana",3330,1122,33.7,1200,36
0500000US22041,"Franklin Parish, Louisiana",1741,509,29.2,564,32.4
0500000US22043,"Grant Parish, Louisiana",1823,288,15.8,937,51.4
0500000US22045,"Iberia Parish, Louisiana",6814,1601,23.5,2819,41.4
0500000US22047,"Iberville Parish, Louisiana",3225,812,25.2,1097,34
0500000US22049,"Jackson Parish, Louisiana",1294,388,30,560,43.3
0500000US22051,"Jefferson Parish, Louisiana",37480,6598,17.6,11925,31.8
0500000US22053,"Jefferson Davis Parish, Louisiana",2676,749,28,976,36.5
0500000US22055,"Lafayette Parish, Louisiana",25566,3897,15.2,6319,24.7
0500000US22057,"Lafourche Parish, Louisiana",9649,1721,17.8,3641,37.7
0500000US22059,"LaSalle Parish, Louisiana",1342,413,30.8,687,51.2
0500000US22061,"Lincoln Parish, Louisiana",12262,1517,12.4,1805,14.7
0500000US22063,"Livingston Parish, Louisiana",11537,2496,21.6,4170,36.1
0500000US22065,"Madison Parish, Louisiana",1133,367,32.4,455,40.2
0500000US22067,"Morehouse Parish, Louisiana",2321,713,30.7,893,38.5
0500000US22069,"Natchitoches Parish, Louisiana",6468,1081,16.7,1616,25
0500000US22071,"Orleans Parish, Louisiana",40330,6421,15.9,10612,26.3
0500000US22073,"Ouachita Parish, Louisiana",16679,2843,17,4937,29.6
0500000US22075,"Plaquemines Parish, Louisiana",2151,444,20.6,606,28.2
0500000US22077,"Pointe Coupee Parish, Louisiana",1779,608,34.2,407,22.9
0500000US22079,"Rapides Parish, Louisiana",12208,2525,20.7,4350,35.6
0500000US22081,"Red River Parish, Louisiana",852,162,19,319,37.4
0500000US22083,"Richland Parish, Louisiana",1795,463,25.8,629,35
0500000US22085,"Sabine Parish, Louisiana",2027,441,21.8,964,47.6
0500000US22087,"St. Bernard Parish, Louisiana",4172,777,18.6,1405,33.7
0500000US22089,"St. Charles Parish, Louisiana",4661,1013,21.7,1477,31.7
0500000US22091,"St. Helena Parish, Louisiana",1099,289,26.3,302,27.5
0500000US22093,"St. James Parish, Louisiana",2007,524,26.1,556,27.7
0500000US22095,"St. John the Baptist Parish, Louisiana",4214,893,21.2,1306,31
0500000US22097,"St. Landry Parish, Louisiana",7353,1968,26.8,3739,50.8
0500000US22099,"St. Martin Parish, Louisiana",4700,929,19.8,1755,37.3
0500000US22101,"St. Mary Parish, Louisiana",4943,1191,24.1,1995,40.4
0500000US22103,"St. Tammany Parish, Louisiana",18737,4480,23.9,5697,30.4
0500000US22105,"Tangipahoa Parish, Louisiana",14594,2142,14.7,3686,25.3
0500000US22107,"Tensas Parish, Louisiana",332,134,40.4,102,30.7
0500000US22109,"Terrebonne Parish, Louisiana",10910,2659,24.4,4683,42.9
0500000US22111,"Union Parish, Louisiana",1943,490,25.2,830,42.7
0500000US22113,"Vermilion Parish, Louisiana",5047,1264,25,2123,42.1
0500000US22115,"Vernon Parish, Louisiana",7143,818,11.5,3373,47.2
0500000US22117,"Washington Parish, Louisiana",3847,919,23.9,1657,43.1
0500000US22119,"Webster Parish, Louisiana",3455,789,22.8,1388,40.2
0500000US22121,"West Baton Rouge Parish, Louisiana",2287,420,18.4,822,35.9
0500000US22123,"West Carroll Parish, Louisiana",932,308,33,355,38.1
0500000US22125,"West Feliciana Parish, Louisiana",1777,180,10.1,369,20.8
0500000US22127,"Winn Parish, Louisiana",1307,362,27.7,576,44.1
0500000US23001,"Androscoggin County, Maine",9643,1296,13.4,3135,32.5
0500000US23003,"Aroostook County, Maine",5493,701,12.8,1896,34.5
