Id,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
0500000US13233,"Polk County, Georgia",3582,1291,36,1034,28.9
0500000US13235,"Pulaski County, Georgia",959,210,21.9,399,41.6
0500000US13237,"Putnam County, Georgia",1480,257,17.4,691,46.7
0500000US13239,"Quitman County, Georgia",152,18,11.8,82,53.9
0500000US13241,"Rabun County, Georgia",1251,324,25.9,470,37.6
0500000US13243,"Randolph County, Georgia",668,243,36.4,230,34.4
0500000US13245,"Richmond County, Georgia",24232,4855,20,9212,38
0500000US13247,"Rockdale County, Georgia",8148,1532,18.8,3263,40
0500000US13249,"Schley County, Georgia",435,68,15.6,123,28.3
0500000US13251,"Screven County, Georgia",1513,456,30.1,499,33
0500000US13253,"Seminole County, Georgia",731,222,30.4,168,23
0500000US13255,"Spalding County, Georgia",5733,1480,25.8,1975,34.4
0500000US13257,"Stephens County, Georgia",2725,681,25,768,28.2
0500000US13259,"Stewart County, Georgia",750,413,55.1,284,37.9
0500000US13261,"Sumter County, Georgia",4047,720,17.8,1166,28.8
0500000US13263,"Talbot County, Georgia",555,148,26.7,209,37.7
0500000US13265,"Taliaferro County, Georgia",167,28,16.8,84,50.3
0500000US13267,"Tattnall County, Georgia",2489,1156,46.4,676,27.2
0500000US13269,"Taylor County, Georgia",836,341,40.8,151,18.1
0500000US13271,"Telfair County, Georgia",1203,399,33.2,612,50.9
0500000US13273,"Terrell County, Georgia",817,251,30.7,243,29.7
0500000US13275,"Thomas County, Georgia",3624,1063,29.3,1177,32.5
0500000US13277,"Tift County, Georgia",5006,874,17.5,1244,24.9
0500000US13279,"Toombs County, Georgia",2291,592,25.8,858,37.5
0500000US13281,"Towns County, Georgia",1336,95,7.1,256,19.2
0500000US13283,"Treutlen County, Georgia",599,170,28.4,275,45.9
0500000US13285,"Troup County, Georgia",7209,1369,19,2713,37.6
0500000US13287,"Turner County, Georgia",719,220,30.6,145,20.2
0500000US13289,"Twiggs County, Georgia",819,236,28.8,379,46.3
0500000US13291,"Union County, Georgia",1302,362,27.8,443,34
0500000US13293,"Upson County, Georgia",2403,585,24.3,862,35.9
0500000US13295,"Walker County, Georgia",5445,1107,20.3,1921,35.3
0500000US13297,"Walton County, Georgia",7098,1040,14.7,2983,42
0500000US13299,"Ware County, Georgia",3457,1301,37.6,944,27.3
0500000US13301,"Warren County, Georgia",518,101,19.5,212,40.9
0500000US13303,"Washington County, Georgia",1888,414,21.9,813,43.1
0500000US13305,"Wayne County, Georgia",2522,662,26.2,821,32.6
0500000US13307,"Webster County, Georgia",222,61,27.5,34,15.3
0500000US13309,"Wheeler County, Georgia",873,266,30.5,490,56.1
0500000US13311,"White County, Georgia",2409,245,10.2,811,33.7
0500000US13313,"Whitfield County, Georgia",10111,2072,20.5,3177,31.4
0500000US13315,"Wilcox County, Georgia",836,264,31.6,315,37.7
0500000US13317,"Wilkes County, Georgia",783,275,35.1,279,35.6
0500000US13319,"Wilkinson County, Georgia",779,102,13.1,331,42.5
0500000US13321,"Worth County, Georgia",1932,453,23.4,970,50.2
0500000US15001,"Hawaii County, Hawaii",15740,1994,12.7,5782,36.7
0500000US15003,"Honolulu County, Hawaii",103048,7221,7,37840,36.7
0500000US15005,"Kalawao County, Hawaii",6,0,0,1,16.7
0500000US15007,"Kauai County, Hawaii",5183,366,7.1,2243,43.3
0500000US15009,"Maui County, Hawaii",12073,1449,12,5494,45.5
0500000US16001,"Ada County, Idaho",36997,3848,10.4,11123,30.1
0500000US16003,"Adams County, Idaho",248,91,36.7,120,48.4
0500000US16005,"Bannock County, Idaho",9272,714,7.7,2841,30.6
0500000US16007,"Bear Lake County, Idaho",428,102,23.8,184,43
0500000US16009,"Benewah County, Idaho",665,105,15.8,356,53.5
0500000US16011,"Bingham County, Idaho",3827,658,17.2,1596,41.7
0500000US16013,"Blaine County, Idaho",1320,231,17.5,534,40.5
0500000US16015,"Boise County, Idaho",361,70,19.4,120,33.2
0500000US16017,"Bonner County, Idaho",2544,606,23.8,1269,49.9
0500000US16019,"Bonneville County, Idaho",8971,1496,16.7,3655,40.7
0500000US16021,"Boundary County, Idaho",717,279,38.9,282,39.3
0500000US16023,"Butte County, Idaho",240,111,46.3,33,13.8
0500000US16025,"Camas County, Idaho",62,21,33.9,30,48.4
0500000US16027,"Canyon County, Idaho",18894,3599,19,7685,40.7
0500000US16029,"Caribou County, Idaho",457,45,9.8,141,30.9
0500000US16031,"Cassia County, Idaho",2088,386,18.5,862,41.3
0500000US16033,"Clark County, Idaho",96,4,4.2,57,59.4
0500000US16035,"Clearwater County, Idaho",559,162,29,179,32
0500000US16037,"Custer County, Idaho",174,60,34.5,41,23.6
0500000US16039,"Elmore County, Idaho",3542,371,10.5,1592,44.9
0500000US16041,"Franklin County, Idaho",1028,247,24,505,49.1
0500000US16043,"Fremont County, Idaho",1048,201,19.2,411,39.2
0500000US16045,"Gem County, Idaho",1129,209,18.5,631,55.9
0500000US16047,"Gooding County, Idaho",1294,298,23,572,44.2
0500000US16049,"Idaho County, Idaho",1071,276,25.8,574,53.6
0500000US16051,"Jefferson County, Idaho",2162,409,18.9,861,39.8
0500000US16053,"Jerome County, Idaho",2056,546,26.6,810,39.4
0500000US16055,"Kootenai County, Idaho",12267,1957,16,4510,36.8
0500000US16057,"Latah County, Idaho",9846,289,2.9,1498,15.2
0500000US16059,"Lemhi County, Idaho",417,52,12.5,250,60
0500000US16061,"Lewis County, Idaho",250,103,41.2,85,34
0500000US16063,"Lincoln County, Idaho",451,72,16,236,52.3
0500000US16065,"Madison County, Idaho",12040,519,4.3,1998,16.6
0500000US16067,"Minidoka County, Idaho",1846,294,15.9,810,43.9
0500000US16069,"Nez Perce County, Idaho",3758,333,8.9,1271,33.8
0500000US16071,"Oneida County, Idaho",375,64,17.1,230,61.3
0500000US16073,"Owyhee County, Idaho",958,257,26.8,450,47
0500000US16075,"Payette County, Idaho",1818,493,27.1,676,37.2
0500000US16077,"Power County, Idaho",667,174,26.1,261,39.1
0500000US16079,"Shoshone County, Idaho",864,200,23.1,374,43.3
0500000US16081,"Teton County, Idaho",690,163,23.6,325,47.1
0500000US16083,"Twin Falls County, Idaho",7340,1193,16.3,2094,28.5
0500000US16085,"Valley County, Idaho",658,128,19.5,292,44.4
0500000US16087,"Washington County, Idaho",658,84,12.8,253,38.4
0500000US17001,"Adams County, Illinois",5743,858,14.9,1913,33.3
0500000US17003,"Alexander County, Illinois",646,92,14.2,274,42.4
0500000US17005,"Bond County, Illinois",1885,212,11.2,449,23.8
0500000US17007,"Boone County, Illinois",4728,1007,21.3,1479,31.3
0500000US17009,"Brown County, Illinois",755,218,28.9,118,15.6
0500000US17011,"Bureau County, Illinois",2549,459,18,979,38.4
0500000US17013,"Calhoun County, Illinois",352,62,17.6,67,19
0500000US17015,"Carroll County, Illinois",1047,159,15.2,425,40.6
0500000US17017,"Cass County, Illinois",1096,175,16,495,45.2
0500000US17019,"Champaign County, Illinois",48618,2107,4.3,6950,14.3
0500000US17021,"Christian County, Illinois",2817,484,17.2,1210,43
0500000US17023,"Clark County, Illinois",1206,143,11.9,445,36.9
0500000US17025,"Clay County, Illinois",1112,197,17.7,412,37.1
0500000US17027,"Clinton County, Illinois",3135,547,17.4,797,25.4
0500000US17029,"Coles County, Illinois",11106,709,6.4,1644,14.8
0500000US17031,"Cook County, Illinois",501140,74885,14.9,133585,26.7
0500000US17033,"Crawford County, Illinois",1773,321,18.1,519,29.3
0500000US17035,"Cumberland County, Illinois",808,113,14,292,36.1
0500000US17037,"DeKalb County, Illinois",20907,1170,5.6,4258,20.4
0500000US17039,"De Witt County, Illinois",1174,196,16.7,525,44.7
0500000US17041,"Douglas County, Illinois",1571,465,29.6,467,29.7
0500000US17043,"DuPage County, Illinois",81704,8250,10.1,21515,26.3
0500000US17045,"Edgar County, Illinois",1304,229,17.6,475,36.4
0500000US17047,"Edwards County, Illinois",490,59,12,130,26.5
0500000US17049,"Effingham County, Illinois",2963,423,14.3,928,31.3
0500000US17051,"Fayette County, Illinois",1954,494,25.3,599,30.7
0500000US17053,"Ford County, Illinois",979,266,27.2,398,40.7
0500000US17055,"Franklin County, Illinois",3088,677,21.9,1002,32.4
0500000US17057,"Fulton County, Illinois",2902,506,17.4,846,29.2
0500000US17059,"Gallatin County, Illinois",381,76,19.9,123,32.3
0500000US17061,"Greene County, Illinois",1064,216,20.3,409,38.4
0500000US17063,"Grundy County, Illinois",4167,634,15.2,1258,30.2
0500000US17065,"Hamilton County, Illinois",602,126,20.9,165,27.4
0500000US17067,"Hancock County, Illinois",1338,206,15.4,495,37
0500000US17069,"Hardin County, Illinois",324,46,14.2,137,42.3
0500000US17071,"Henderson County, Illinois",486,80,16.5,165,34
0500000US17073,"Henry County, Illinois",3893,602,15.5,1313,33.7
0500000US17075,"Iroquois County, Illinois",2176,372,17.1,932,42.8
0500000US17077,"Jackson County, Illinois",13803,683,4.9,3200,23.2
0500000US17079,"Jasper County, Illinois",699,40,5.7,242,34.6
0500000US17081,"Jefferson County, Illinois",3410,557,16.3,1002,29.4
0500000US17083,"Jersey County, Illinois",2160,204,9.4,608,28.1
0500000US17085,"Jo Daviess County, Illinois",1538,325,21.1,468,30.4
0500000US17087,"Johnson County, Illinois",1138,277,24.3,324,28.5
0500000US17089,"Kane County, Illinois",45988,8455,18.4,14348,31.2
0500000US17091,"Kankakee County, Illinois",11820,1270,10.7,3803,32.2
0500000US17093,"Kendall County, Illinois",8788,1179,13.4,2960,33.7
0500000US17095,"Knox County, Illinois",5314,624,11.7,1730,32.6
0500000US17097,"Lake County, Illinois",68878,8838,12.8,23155,33.6
0500000US17099,"LaSalle County, Illinois",9471,1390,14.7,3348,35.4
0500000US17101,"Lawrence County, Illinois",1177,577,49,301,25.6
0500000US17103,"Lee County, Illinois",2930,482,16.5,892,30.4
0500000US17105,"Livingston County, Illinois",3152,773,24.5,1351,42.9
0500000US17107,"Logan County, Illinois",3333,555,16.7,930,27.9
0500000US17109,"McDonough County, Illinois",8424,384,4.6,1331,15.8
0500000US17111,"McHenry County, Illinois",25948,3729,14.4,8626,33.2
0500000US17113,"McLean County, Illinois",30767,1783,5.8,4726,15.4
0500000US17115,"Macon County, Illinois",10262,1220,11.9,3478,33.9
0500000US17117,"Macoupin County, Illinois",3795,564,14.9,1141,30.1
0500000US17119,"Madison County, Illinois",24701,2456,9.9,6916,28
0500000US17121,"Marion County, Illinois",3200,608,19,1121,35
0500000US17123,"Marshall County, Illinois",969,150,15.5,384,39.6
0500000US17125,"Mason County, Illinois",1043,170,16.3,475,45.5
0500000US17127,"Massac County, Illinois",1086,202,18.6,425,39.1
0500000US17129,"Menard County, Illinois",915,151,16.5,372,40.7
0500000US17131,"Mercer County, Illinois",1171,168,14.3,407,34.8
0500000US17133,"Monroe County, Illinois",2419,267,11,691,28.6
0500000US17135,"Montgomery County, Illinois",2426,628,25.9,633,26.1
0500000US17137,"Morgan County, Illinois",3874,398,10.3,1365,35.2
0500000US17139,"Moultrie County, Illinois",1088,196,18,403,37
0500000US17141,"Ogle County, Illinois",4210,518,12.3,1328,31.5
0500000US17143,"Peoria County, Illinois",18378,2299,12.5,4596,25
0500000US17145,"Perry County, Illinois",2142,477,22.3,596,27.8
0500000US17147,"Piatt County, Illinois",1171,204,17.4,364,31.1
0500000US17149,"Pike County, Illinois",1296,241,18.6,620,47.8
0500000US17151,"Pope County, Illinois",473,150,31.7,199,42.1
0500000US17153,"Pulaski County, Illinois",469,88,18.8,228,48.6
0500000US17155,"Putnam County, Illinois",414,30,7.2,149,36
0500000US17157,"Randolph County, Illinois",2609,453,17.4,972,37.3
0500000US17159,"Richland County, Illinois",1253,220,17.6,425,33.9
0500000US17161,"Rock Island County, Illinois",13329,1678,12.6,4020,30.2
0500000US17163,"St. Clair County, Illinois",24361,3718,15.3,7307,30
